ASVid	taxonomy
672ca780f466a57e6de60d4ec9dcb741	"Candida_sp|OM809269|SH1177929.09FU|reps|k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_sp"
97af696ad96ceb598c731d77297e77a6	"Cladosporium_succulentum|LN834434|SH4360065.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_succulentum"
e486d1c81647ae446a4e1b39c77e8602	"Mortierella_polygonia|HQ630301|SH1260731.09FU|refs|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polygonia"
2ada98f50bd767e818ac1b1f2449170b	"Penicillium_antarcticum|KJ834503|SH1228083.09FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_antarcticum"
7fbb93d82e4abea98be2b43aa3e311fd	"Fungi_sp|UDB099752|SH1169037.09FU|reps|k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp"
1faac684392066f7419b75837da96151	"Aspergillus_intermedius|EF652074|SH3212574.09FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_intermedius"
7c9fe99df5d392ce69e67bc04e2464bc	"Fungi_sp|UDB02177133|SH1115777.09FU|reps|k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp"
7c9fe99df5d392ce69e67bc04e2464bc	"Fungi_sp|UDB02177133|SH1115777.09FU|reps|k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp"
49f6878c5ab575efee6d8aaea8f55a9e	"Sordariomycetes_sp|UDB03568840|SH0943376.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Sordariomycetes_gen_Incertae_sedis;s__Sordariomycetes_sp"
fcf4c4f9aed4588646362e8d29ab0827	"Cladosporium_sphaerospermum|DQ780343|SH4358594.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sphaerospermum"
917d93217272ff18a847ae06f04c732a	"Nectriaceae_sp|MK406632|SH1158599.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectriaceae_gen_Incertae_sedis;s__Nectriaceae_sp"
